company_id,flight_number,scheduled_departure_date_local,scheduled_arrival_station_code,scheduled_ground_time_minutes,minimum_turn_minutes,total_seats,tight_ground_time,transfer_bags,origin_bags,total_bags_per_seat,total_pax_booked,total_ssr_count,ssr_per_pax,tight_ground_time_norm,total_bags_per_seat_norm,ssr_per_pax_norm,difficulty_score,daily_difficulty_rank,difficulty_classification
OO,4792,2025-08-04,ROA,42,34,76,0,36,6,0.5526315789473685,63,3.0,0.047619047619047616,0.0,0.3433718662129413,0.2857142857142857,0.20969538397574236,131,Difficult
UA,920,2025-08-03,LHR,235,145,167,0,53,90,0.8562874251497006,153,3.0,0.0196078431372549,0.0,0.6149172243747799,0.08823529411764706,0.234384172830809,131,Difficult
UA,1776,2025-08-10,PHL,76,51,166,0,39,46,0.5120481927710844,166,0.0,0.0,0.0,0.3275711541819452,0.0,0.10919038472731507,508,Easy
OO,5790,2025-08-06,CRW,223,29,50,0,40,14,1.08,47,2.0,0.0425531914893617,0.0,0.8090437788018433,0.2857142857142857,0.3649193548387097,34,Difficult
UA,1398,2025-08-05,ATL,75,51,166,0,51,19,0.42168674698795183,127,2.0,0.015748031496062992,0.0,0.2606817755023375,0.10348706411698537,0.12138961320644097,424,Easy
OO,5470,2025-08-07,GEG,49,34,76,0,26,14,0.5263157894736842,67,0.0,0.0,0.0,0.3229665071770335,0.0,0.1076555023923445,466,Easy
UA,374,2025-08-15,MSP,54,43,126,0,62,21,0.6587301587301587,124,3.0,0.024193548387096774,0.0,0.4301818141845843,0.036290322580645164,0.1554907122550765,253,Medium
UA,1577,2025-08-15,SFO,123,66,234,0,66,83,0.6367521367521367,224,2.0,0.008928571428571428,0.0,0.41439081847669096,0.013392857142857142,0.14259455853984937,304,Medium
UA,881,2025-08-03,HND,365,155,318,0,246,102,1.0943396226415094,315,8.0,0.025396825396825397,0.0,0.7899556048834628,0.1142857142857143,0.3014137730563924,33,Difficult
UA,2006,2025-08-09,GUA,90,65,166,0,59,131,1.144578313253012,160,27.0,0.16875,0.0,0.692282644089873,1.0,0.5640942146966244,1,Difficult
UA,307,2025-08-14,COS,94,56,179,0,30,55,0.4748603351955307,121,2.0,0.01652892561983471,0.0,0.3475008592165293,0.1184573002754821,0.15531938649733712,435,Easy
UA,1538,2025-08-08,SAV,100,43,126,0,18,69,0.6904761904761905,119,3.0,0.025210084033613446,0.0,0.45545557428555594,0.1512605042016807,0.2022386928290789,185,Medium
UA,1006,2025-08-02,LGA,63,51,166,0,36,37,0.4397590361445783,166,7.0,0.04216867469879518,0.0,0.18277990008815748,0.29518072289156627,0.15932020765990793,316,Medium
G7,4395,2025-08-14,TVC,132,29,50,0,34,3,0.74,46,2.0,0.043478260869565216,0.0,0.5500603136308806,0.3115942028985507,0.2872181721764771,93,Difficult
UA,1538,2025-08-06,SAV,95,43,126,0,31,38,0.5476190476190477,102,5.0,0.049019607843137254,0.0,0.40270463023919245,0.3291316526610644,0.24394542763341898,137,Medium
UA,2138,2025-08-08,LGA,62,51,166,0,41,32,0.4397590361445783,154,0.0,0.0,0.0,0.28253282366627885,0.0,0.09417760788875962,507,Easy
G7,4481,2025-08-15,GRR,644,29,50,0,37,0,0.74,41,0.0,0.0,0.0,0.48857340720221604,0.0,0.1628578024007387,228,Medium
OO,5108,2025-08-14,SLN,85,29,50,0,18,23,0.82,40,1.0,0.025,0.0,0.6111781262565339,0.17916666666666667,0.26344826430773355,129,Difficult
YX,3568,2025-08-15,YYZ,75,42,76,0,19,27,0.6052631578947368,76,1.0,0.013157894736842105,0.0,0.39176629246245814,0.019736842105263157,0.13716771152257376,324,Medium
OO,4739,2025-08-03,GRB,69,29,50,0,35,17,1.04,50,1.0,0.02,0.0,0.7500000000000001,0.09000000000000001,0.28,47,Difficult
UA,664,2025-08-02,LGA,400,51,166,0,29,65,0.5662650602409639,160,6.0,0.0375,0.0,0.2599177196591243,0.2625,0.17413923988637478,275,Medium
OO,5517,2025-08-04,PVD,87,34,76,0,32,13,0.5921052631578947,73,1.0,0.0136986301369863,0.0,0.3698122049870384,0.0821917808219178,0.15066799526965205,328,Medium
UA,1156,2025-08-08,MSY,62,56,179,0,78,43,0.6759776536312849,166,2.0,0.012048192771084338,0.0,0.44545575246299357,0.07228915662650603,0.17258163636316656,286,Medium
G7,4387,2025-08-06,CID,75,29,50,0,38,4,0.84,50,0.0,0.0,0.0,0.6258640552995391,0.0,0.20862135176651306,215,Medium
UA,1361,2025-08-11,STL,60,43,126,0,94,4,0.7777777777777778,126,2.0,0.015873015873015872,0.0,0.5248168245501089,0.047619047619047616,0.19081195738971882,140,Difficult
UA,2323,2025-08-03,MCO,97,62,200,0,27,144,0.855,200,3.0,0.015,0.0,0.6139705882352942,0.0675,0.22715686274509805,149,Medium
OO,5229,2025-08-13,ILM,47,34,76,0,11,12,0.3026315789473684,52,0.0,0.0,0.0,0.14292890173853692,0.0,0.047642967246178974,521,Easy
YX,3700,2025-08-02,BNA,5,34,76,29,29,21,0.6578947368421053,76,1.0,0.013157894736842105,0.09698996655518395,0.3157894736842105,0.09210526315789473,0.16829490113242973,292,Medium
