company_id,flight_number,scheduled_departure_date_local,transfer_bags,origin_bags,transfer_to_origin_ratio
4Y,52,2025-08-08,1,0,
9X,305,2025-08-01,1,0,
9X,305,2025-08-08,1,0,
9X,330,2025-08-03,1,0,
9X,332,2025-08-01,1,0,
9X,361,2025-08-01,3,0,
9X,363,2025-08-03,1,0,
9X,365,2025-08-01,1,0,
9X,367,2025-08-03,1,0,
9X,482,2025-08-02,1,0,
9X,482,2025-08-06,1,0,
9X,482,2025-08-09,1,0,
9X,482,2025-08-11,1,0,
9X,484,2025-08-01,2,0,
9X,484,2025-08-15,1,0,
9X,488,2025-08-03,2,0,
9X,488,2025-08-06,3,0,
9X,488,2025-08-09,6,0,
9X,488,2025-08-10,1,0,
9X,488,2025-08-11,1,0,
9X,488,2025-08-12,1,0,
9X,488,2025-08-13,3,0,
A3,500,2025-08-13,1,0,
A3,617,2025-08-01,2,0,
AA,46,2025-08-15,2,0,
AA,86,2025-08-13,1,0,
AA,98,2025-08-07,1,0,
AA,98,2025-08-09,3,0,
AA,110,2025-08-15,11,0,
AA,126,2025-08-07,3,0,
AA,126,2025-08-08,1,0,
AA,142,2025-08-07,8,0,
AA,150,2025-08-01,3,0,
AA,150,2025-08-13,1,0,
AA,150,2025-08-14,9,0,
AA,150,2025-08-15,1,0,
AA,160,2025-08-08,4,0,
AA,180,2025-08-02,2,0,
AA,208,2025-08-10,5,0,
AA,208,2025-08-12,3,0,
AA,208,2025-08-14,2,0,
AA,311,2025-08-10,1,0,
AA,329,2025-08-01,3,0,
AA,329,2025-08-05,2,0,
AA,353,2025-08-03,4,0,
AA,353,2025-08-15,4,0,
AA,375,2025-08-06,2,0,
AA,375,2025-08-11,1,0,
AA,383,2025-08-07,1,0,
AA,403,2025-08-01,4,0,
AA,403,2025-08-02,1,0,
AA,431,2025-08-01,2,0,
AA,431,2025-08-02,2,0,
AA,431,2025-08-04,6,0,
AA,453,2025-08-03,5,0,
AA,471,2025-08-01,2,0,
AA,471,2025-08-08,0,2,0.0
AA,481,2025-08-09,2,0,
AA,481,2025-08-12,1,0,
AA,486,2025-08-01,4,0,
AA,492,2025-08-01,1,0,
AA,519,2025-08-01,2,0,
AA,550,2025-08-01,1,0,
AA,550,2025-08-07,7,0,
AA,550,2025-08-13,1,0,
AA,555,2025-08-02,3,0,
AA,564,2025-08-01,5,0,
AA,564,2025-08-03,2,0,
AA,564,2025-08-07,2,0,
AA,564,2025-08-11,2,0,
AA,564,2025-08-14,1,0,
AA,564,2025-08-15,4,0,
AA,600,2025-08-03,2,0,
AA,600,2025-08-06,7,0,
AA,600,2025-08-07,7,0,
AA,600,2025-08-08,3,0,
AA,600,2025-08-09,13,0,
AA,600,2025-08-10,2,0,
AA,600,2025-08-11,7,0,
AA,600,2025-08-12,9,0,
AA,600,2025-08-13,14,0,
AA,607,2025-08-07,1,0,
AA,627,2025-08-04,1,0,
AA,627,2025-08-10,1,0,
AA,640,2025-08-02,2,0,
AA,650,2025-08-14,1,0,
AA,652,2025-08-01,3,0,
AA,652,2025-08-02,2,0,
AA,677,2025-08-09,3,0,
AA,689,2025-08-01,4,0,
AA,689,2025-08-08,1,0,
AA,689,2025-08-09,1,0,
AA,760,2025-08-01,1,0,
AA,769,2025-08-07,3,0,
AA,773,2025-08-03,1,0,
AA,835,2025-08-02,1,0,
AA,835,2025-08-06,2,0,
AA,835,2025-08-08,1,0,
AA,855,2025-08-02,10,0,
AA,903,2025-08-03,1,0,
AA,903,2025-08-10,2,0,
AA,903,2025-08-12,1,0,
AA,903,2025-08-14,1,0,
AA,935,2025-08-01,3,0,
AA,935,2025-08-11,1,0,
AA,935,2025-08-15,8,0,
AA,1101,2025-08-08,5,0,
AA,1101,2025-08-10,5,0,
AA,1103,2025-08-09,3,0,
AA,1109,2025-08-03,1,0,
AA,1109,2025-08-10,3,0,
AA,1136,2025-08-10,1,0,
AA,1151,2025-08-02,2,0,
AA,1151,2025-08-07,3,0,
AA,1151,2025-08-14,1,0,
AA,1168,2025-08-14,2,2,1.0
AA,1178,2025-08-11,2,0,
AA,1179,2025-08-14,1,0,
AA,1193,2025-08-01,6,0,
AA,1202,2025-08-01,1,0,
AA,1209,2025-08-01,1,0,
AA,1211,2025-08-01,4,0,
AA,1211,2025-08-15,1,0,
AA,1219,2025-08-08,1,0,
AA,1245,2025-08-07,1,0,
AA,1247,2025-08-01,6,0,
AA,1277,2025-08-01,2,0,
AA,1277,2025-08-09,1,0,
AA,1277,2025-08-12,2,0,
AA,1290,2025-08-01,1,0,
AA,1290,2025-08-03,1,0,
AA,1290,2025-08-06,3,0,
AA,1290,2025-08-09,4,0,
AA,1290,2025-08-13,3,0,
AA,1290,2025-08-15,1,0,
AA,1293,2025-08-01,1,0,
