company_id,flight_number,scheduled_departure_date_local,departure_delay_minutes,scheduled_ground_time_minutes,minimum_turn_minutes
OO,4792,2025-08-04,7.0,42,34
UA,920,2025-08-03,22.0,235,145
UA,1776,2025-08-10,111.0,76,51
OO,5790,2025-08-06,105.0,223,29
UA,1398,2025-08-05,-4.0,75,51
OO,5470,2025-08-07,-4.0,49,34
UA,374,2025-08-15,28.0,54,43
UA,1577,2025-08-15,-1.0,123,66
UA,881,2025-08-03,25.0,365,155
UA,2006,2025-08-09,10.0,90,65
UA,307,2025-08-14,-4.0,94,56
UA,1538,2025-08-08,-6.0,100,43
UA,1006,2025-08-02,60.0,63,51
G7,4395,2025-08-14,86.0,132,29
UA,1538,2025-08-06,-8.0,95,43
UA,2138,2025-08-08,-4.0,62,51
G7,4481,2025-08-15,-4.0,644,29
OO,5108,2025-08-14,-6.0,85,29
YX,3568,2025-08-15,-2.0,75,42
OO,4739,2025-08-03,-1.0,69,29
UA,664,2025-08-02,1.0,400,51
OO,5517,2025-08-04,-1.0,87,34
UA,1156,2025-08-08,19.0,62,56
G7,4387,2025-08-06,-15.0,75,29
UA,1361,2025-08-11,20.0,60,43
UA,2323,2025-08-03,-6.0,97,62
OO,5229,2025-08-13,-5.0,47,34
YX,3700,2025-08-02,15.0,5,34
G7,4610,2025-08-15,-3.0,59,29
UA,1414,2025-08-13,-5.0,59,46
UA,1156,2025-08-13,1.0,73,56
UA,247,2025-08-13,-7.0,69,46
UA,2378,2025-08-08,8.0,77,62
OO,5930,2025-08-14,100.0,205,29
YX,3628,2025-08-11,-5.0,45,34
OO,5564,2025-08-01,9.0,57,29
UA,2361,2025-08-13,-3.0,662,66
YX,3520,2025-08-05,0.0,162,34
G7,4546,2025-08-06,39.0,-5,29
OO,5362,2025-08-14,-5.0,90,29
OO,5251,2025-08-03,8.0,68,34
G7,4429,2025-08-07,-1.0,57,29
UA,1899,2025-08-01,74.0,70,52
UA,2137,2025-08-03,-2.0,68,51
UA,1576,2025-08-10,0.0,80,51
UA,2004,2025-08-11,8.0,84,46
UA,343,2025-08-02,-1.0,1079,62
UA,2370,2025-08-11,0.0,79,56
UA,2189,2025-08-01,-4.0,96,60
UA,481,2025-08-12,129.0,95,43
UA,1209,2025-08-15,5.0,67,56
UA,2177,2025-08-15,30.0,9,43
UA,909,2025-08-13,34.0,280,95
UA,1584,2025-08-05,0.0,711,62
YX,3690,2025-08-13,-9.0,57,34
YX,3542,2025-08-15,-5.0,53,42
OO,4791,2025-08-14,-8.0,56,29
UA,2011,2025-08-11,12.0,67,60
UA,1946,2025-08-15,-1.0,105,51
OO,5292,2025-08-02,-4.0,756,42
UA,845,2025-08-12,115.0,300,155
YX,3525,2025-08-13,-2.0,58,42
UA,2677,2025-08-06,194.0,231,122
UA,767,2025-08-13,38.0,22,62
OO,5026,2025-08-13,13.0,40,29
OO,5493,2025-08-05,-4.0,106,29
G7,4519,2025-08-06,-12.0,70,29
OO,4791,2025-08-04,-5.0,56,29
UA,592,2025-08-03,9.0,57,43
G7,4590,2025-08-01,-9.0,42,29
YX,3464,2025-08-13,15.0,142,39
OO,5963,2025-08-14,13.0,59,34
OO,5447,2025-08-10,-6.0,71,34
UA,1495,2025-08-05,6.0,57,46
UA,2100,2025-08-08,0.0,68,51
UA,2640,2025-08-05,-1.0,119,51
UA,224,2025-08-01,6.0,206,60
OO,5392,2025-08-15,4.0,165,39
OO,5984,2025-08-05,10.0,78,34
OO,5737,2025-08-13,7.0,47,34
G7,4552,2025-08-03,-7.0,74,29
G7,4476,2025-08-07,65.0,110,29
G7,4482,2025-08-02,-1.0,40,29
OO,5557,2025-08-12,16.0,73,34
UA,2683,2025-08-11,-4.0,95,51
OO,5557,2025-08-13,-3.0,73,34
YX,3716,2025-08-13,7.0,47,34
UA,1616,2025-08-04,1.0,88,56
YX,3440,2025-08-15,-5.0,539,42
OO,5836,2025-08-10,91.0,45,29
OO,5493,2025-08-06,-7.0,104,29
UA,1775,2025-08-10,-1.0,75,56
UA,2653,2025-08-05,-6.0,69,56
G7,4552,2025-08-15,5.0,79,29
UA,1599,2025-08-11,-1.0,186,93
UA,2666,2025-08-07,-4.0,470,62
YX,3536,2025-08-11,-5.0,735,42
YX,3409,2025-08-07,-3.0,50,42
G7,4590,2025-08-14,66.0,-20,29
UA,763,2025-08-01,-3.0,79,51
UA,2195,2025-08-08,-5.0,63,51
UA,1989,2025-08-12,132.0,70,56
OO,5930,2025-08-10,5.0,107,29
UA,1793,2025-08-12,39.0,78,46
UA,2677,2025-08-05,-4.0,246,122
OO,5521,2025-08-01,61.0,-28,29
UA,2487,2025-08-15,69.0,3,56
YX,3614,2025-08-09,8.0,95,34
YX,3708,2025-08-15,-4.0,40,34
UA,1657,2025-08-08,-5.0,835,51
OO,5915,2025-08-10,64.0,43,29
OO,5790,2025-08-01,54.0,-7,29
UA,2427,2025-08-12,11.0,79,43
UA,265,2025-08-15,4.0,69,52
UA,1996,2025-08-08,-1.0,204,68
OO,5229,2025-08-14,-6.0,39,34
UA,1361,2025-08-13,7.0,69,43
UA,1030,2025-08-09,39.0,78,43
OO,5020,2025-08-03,-10.0,60,29
YX,3718,2025-08-10,-4.0,63,39
OO,5538,2025-08-09,-10.0,94,29
UA,1778,2025-08-10,11.0,62,43
UA,2137,2025-08-07,-1.0,957,51
UA,2137,2025-08-13,16.0,68,51
UA,2427,2025-08-05,-2.0,84,43
G7,4482,2025-08-11,12.0,-36,29
UA,1304,2025-08-05,15.0,18,56
OO,5250,2025-08-15,-1.0,65,34
UA,2666,2025-08-10,-4.0,515,62
OO,5568,2025-08-02,-7.0,72,29
OO,5849,2025-08-09,-2.0,117,34
UA,763,2025-08-12,-2.0,209,51
YX,3465,2025-08-05,16.0,64,34
UA,476,2025-08-07,-2.0,66,46
UA,2254,2025-08-08,-7.0,535,62
UA,2427,2025-08-15,29.0,71,43
UA,1491,2025-08-03,0.0,159,46
YX,3628,2025-08-04,1.0,59,34
UA,2369,2025-08-08,-6.0,71,51
OO,5577,2025-08-11,-1.0,645,34
UA,422,2025-08-03,37.0,185,155
UA,1041,2025-08-05,-5.0,57,43
UA,1044,2025-08-15,64.0,984,66
UA,944,2025-08-08,-4.0,185,155
UA,1485,2025-08-15,0.0,74,56
G7,4491,2025-08-01,0.0,80,29
G7,4173,2025-08-06,-6.0,112,29
UA,2008,2025-08-13,3.0,1002,51
OO,5538,2025-08-13,0.0,76,29
UA,2424,2025-08-03,0.0,80,56
OO,5140,2025-08-01,114.0,55,29
G7,4425,2025-08-11,26.0,140,29
UA,1830,2025-08-07,18.0,58,46
G7,4468,2025-08-04,12.0,69,29
UA,1811,2025-08-10,40.0,81,60
G7,4518,2025-08-08,-2.0,44,29
OO,5309,2025-08-11,23.0,-5,34
OO,5469,2025-08-02,-1.0,82,39
YX,3468,2025-08-13,-5.0,47,34
OO,4748,2025-08-08,165.0,0,29
UA,2323,2025-08-06,-7.0,770,62
OO,5819,2025-08-01,-7.0,55,29
UA,2040,2025-08-04,-1.0,95,56
UA,1599,2025-08-15,-1.0,754,87
UA,2370,2025-08-14,-5.0,82,56
UA,1495,2025-08-09,45.0,102,119
UA,2684,2025-08-13,-3.0,75,56
OO,5470,2025-08-01,-3.0,49,34
UA,1776,2025-08-13,99.0,15,51
UA,1577,2025-08-12,-4.0,123,66
UA,1842,2025-08-06,215.0,85,62
OO,5946,2025-08-14,6.0,101,34
G7,4482,2025-08-07,-4.0,45,29
UA,600,2025-08-11,-4.0,86,56
UA,2040,2025-08-01,0.0,77,56
YX,3433,2025-08-10,-1.0,114,34
OO,5652,2025-08-13,43.0,71,34
OO,5446,2025-08-04,3.0,56,34
UA,534,2025-08-06,158.0,76,62
UA,2106,2025-08-13,8.0,75,62
UA,2323,2025-08-07,-2.0,717,62
UA,1612,2025-08-12,203.0,100,43
YX,3614,2025-08-03,8.0,154,34
OO,5383,2025-08-13,8.0,40,29
