company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,total_pax_booked,departure_delay_minutes,load_factor
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04T21:04:00Z,2025-08-04 18:04:00+00:00,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,63,7.0,0.8289473684210527
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04T08:20:00Z,2025-08-03 18:27:00+00:00,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,153,22.0,0.9161676646706587
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10T21:35:00Z,2025-08-10 20:11:00+00:00,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,166,111.0,1.0
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06T21:04:00Z,2025-08-06 20:05:00+00:00,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,47,105.0,0.94
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05T21:29:00Z,2025-08-05 18:16:00+00:00,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,127,-4.0,0.7650602409638554
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07T10:56:00Z,2025-08-07 08:36:00+00:00,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,67,-4.0,0.881578947368421
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15T17:49:00Z,2025-08-15 16:38:00+00:00,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,124,28.0,0.9841269841269841
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15T17:26:00Z,2025-08-15 14:39:00+00:00,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,224,-1.0,0.9572649572649573
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04T15:55:00Z,2025-08-03 13:15:00+00:00,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,315,25.0,0.9905660377358491
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09T12:45:00Z,2025-08-09 09:24:00+00:00,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,160,10.0,0.963855421686747
